Departamento,Municipio,Año,Área Cosechada,Área Sembrada,Producción,Rendimiento,Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año),Humedad volumétrica media anual del suelo capa 1 (m³/m³),Humedad volumétrica media anual del suelo capa 2 (m³/m³),Evaporación potencial acumulada anual (mm/año),SPI3_mean_anual,SPI3_min_anual,SPI3_meses_bajo_m1,SPI6_mean_anual,SPI6_min_anual,SPI6_meses_bajo_m1,SPI12_mean_anual,SPI12_min_anual,SPI12_meses_bajo_m1,SPI3_dic,SPI6_dic,SPI12_dic,SPI1_floracion,SPI3_floracion,SPI1_llenado,SPI3_llenado,altitud_media_m,Rendimiento_lag1,Rendimiento_lag2,Rendimiento_lag3,Rendimiento_rolling3,Rendimiento_vs_media_mun
CUNDINAMARCA,ANAPOIMA,2008,234.66,244.87,104.03,0.44332225347311,9397.211458206177,21.052603,21.534576,20.717682,83.73498,5434.937062,0.4101677,0.41376877,1299.1642956733704,0.2697513694991797,-1.0142779153736017,1.0,0.375813190290682,-0.9999124645866636,0.0,0.9947084969155188,0.3022501832709479,0.0,-0.6601290685943516,0.4424742647601399,0.990944665120313,0.0348852532474882,0.2881611490716479,-0.0418130772433007,0.090587019601158,753.1371854339387,0.4108865216616152,,,0.4108865216616152,0.0
CUNDINAMARCA,ANAPOIMA,2009,238.67,244.42,109.322,0.4580466753257636,7596.002593994141,21.659576,22.56485,21.122711,82.47872,5691.733904000001,0.40890756,0.4130465,1404.6437237262726,-0.1016357513321028,-1.0384733084457352,1.0,-0.0851845003418175,-0.8039924617812889,0.0,0.4451771478825292,-0.5619648656644486,0.0,-1.0384733084457352,-0.6509278674465556,-0.5619648656644486,-0.1476358506864687,-0.0761885452314617,-0.3672240790572501,-0.2405643744370996,753.1371854339387,0.44332225347311,0.4108865216616152,,0.4271043875673626,0.01621786590574742
CUNDINAMARCA,ANAPOIMA,2010,244.25,251.16,114.1,0.4671443193449334,10091.935886383057,21.505259,23.381012,19.950592,84.22712,5287.102522,0.40955225,0.41292825,1287.4802165031433,0.2386554892646704,-1.8199758260257013,3.0,0.2709158901237019,-1.9413877010321252,4.0,0.1449538280426571,-1.1763737693765015,3.0,-0.4758110194113673,0.7393846815002313,1.5369347290573558,0.0603897829948359,0.0945680205208328,0.6018688586455632,0.2992470695097891,753.1371854339387,0.4580466753257636,0.44332225347311,0.4108865216616152,0.4374184834868296,0.020628191838933996
CUNDINAMARCA,ANAPOIMA,2011,245.0,247.0,116.0,0.473469387755102,8696.465523719788,21.023651,21.647125,20.361969,85.47486,5323.956911,0.41148886,0.4161873,1266.9825427532196,0.169372326657996,-0.797531334018536,0.0,0.2126795143909174,-0.844795175994992,0.0,1.1159786287303888,0.3835158572141007,0.0,-0.4845110543593162,-0.0990346765665359,0.4125322800803699,0.0155402405316083,0.0218665974429173,0.3984282195697597,0.1663961816665499,753.1371854339387,0.4671443193449334,0.4580466753257636,0.44332225347311,0.4561710827146023,0.022294376893577827
CUNDINAMARCA,ANAPOIMA,2012,107.0,107.0,53.5,0.5,7848.365871429443,21.446869,21.943756,20.838287,81.22755,5593.24986,0.4079081,0.4125061,1385.323385477066,0.0056833567834827,-0.7412418684004277,0.0,-0.0383158445386216,-0.7954930723937702,0.0,0.1135046660318556,-0.330545371621169,0.0,-0.6082661178013892,-0.3626501358058104,-0.330545371621169,-0.0699462927650107,-0.1368890467990803,-0.0223930058433901,0.0126823722189571,753.1371854339387,0.473469387755102,0.4671443193449334,0.4580466753257636,0.46622012747526637,0.02289555624299716
CUNDINAMARCA,ANAPOIMA,2013,129.38,138.04,58.0749,0.4488707682794868,8875.763343811035,21.630014,23.11319,20.887115,82.645424,5564.200406,0.40804544,0.4125328,1372.202184677124,0.1590817694360584,-1.35908702283422,2.0,0.1250031039070546,-1.125304388418031,2.0,-0.0232863952346863,-0.5989757635407781,0.0,-0.5120013966618354,0.2562177112858637,0.5633836709870854,0.3711553495021937,0.0888463953353376,0.1621416452244611,0.1339231226014098,753.1371854339387,0.5,0.473469387755102,0.4671443193449334,0.48020456903334513,0.041188473739912634
CUNDINAMARCA,ANAPOIMA,2014,93.11,103.46,45.1919,0.4853603264955429,8497.69214630127,21.805573,22.34732,21.158112,81.43891,5609.643552,0.40857315,0.41260147,1393.6254289150238,0.0964401388958971,-0.971988878372396,0.0,0.157712749424634,-1.0380229008247563,1.0,0.4886819055030508,0.2428616988874424,0.0,-0.6576576824746534,-0.12876046478669,0.2428616988874424,-0.1087121641960868,-0.0083745258340058,0.1228531087354811,0.075491605400525,753.1371854339387,0.4488707682794868,0.5,0.473469387755102,0.47411338534486297,-0.00852064969765759
CUNDINAMARCA,ANAPOIMA,2015,91.95,100.29,73.4055,0.7983197389885808,8412.6404504776,22.044992,22.975983,21.528229,80.86964,5561.525292,0.40286508,0.40873718,1409.7019567489624,0.0525692754627179,-1.069455501568351,1.0,-0.0022253410338669,-1.1426995767229364,2.0,0.1139990106871869,-0.2214235842849896,0.0,-0.1352830150254119,-0.0577373259298593,0.1694560732136461,-0.4372123661772903,-0.1849457954367364,0.0867100015595116,0.2936488476921295,753.1371854339387,0.4853603264955429,0.4488707682794868,0.5,0.4780770315916765,0.024472794953598664
CUNDINAMARCA,ANAPOIMA,2016,90.5097,100.7,74.7269,0.8256231100092035,8221.424986839294,22.29479,23.931305,21.238922,80.458496,5643.564402,0.3996493,0.402743,1436.4306371212006,0.0066484481135441,-1.2051748229344406,1.0,0.0126536408398708,-0.9613943250993238,0.0,0.0044520064191352,-0.2484265532376147,0.0,-0.3406343851252192,-0.089121214153078,0.0025999122313713,-0.275273323893227,-0.1849393300320613,0.4255202827474085,0.1651579015345055,753.1371854339387,0.7983197389885808,0.4853603264955429,0.4488707682794868,0.5775169445878702,0.29993973995256584
CUNDINAMARCA,ANAPOIMA,2017,70.21,74.91,59.1638,0.8426691354507906,6328.983066082001,22.204782,23.39444,21.668365,78.163925,5957.881785,0.3969091,0.40079498,1509.2961893081665,-0.3602225147346629,-1.1975767171558185,2.0,-0.4650582675840274,-1.0697224862793393,1.0,-0.6807927221611506,-1.80974306977584,5.0,-1.1975767171558185,-0.9920024452960396,-1.80974306977584,-0.682969608869286,-0.4195102979484997,-0.6758621929855957,-0.4979904307686814,753.1371854339387,0.8256231100092035,0.7983197389885808,0.4853603264955429,0.7031010584977757,0.2945187998758697
CUNDINAMARCA,ANAPOIMA,2018,65.58,71.23,56.5223,0.8618831960963709,7009.266207695007,22.053131,23.386139,21.135895,78.25001,5758.616803,0.39937845,0.40328726,1452.095932483673,-0.383829198356436,-1.8714326507311505,3.0,-0.5119357469297315,-1.8765494217532876,5.0,-1.4261086098316094,-2.161186969014934,11.0,-0.9962293766696136,-1.159709354863419,-1.1207406696412172,-1.0955357049771843,-0.8265353172630597,-0.2917518859457371,-0.1555929529574473,753.1371854339387,0.8426691354507906,0.8256231100092035,0.7983197389885808,0.8222039948161917,0.2832407502885971
CUNDINAMARCA,ANAPOIMA,2019,65.0,71.0,68.0,1.0461538461538462,6231.861327648163,22.369516,23.503815,21.521637,77.95937,5897.372273999999,0.39724478,0.4005839,1511.958110332489,-0.5776057749293715,-1.8515181346482397,7.0,-0.7392831109687038,-1.8375163890956057,5.0,-1.5679579116354698,-1.985141852873149,12.0,-1.0190999636426346,-1.5867311998301443,-1.912160329848055,-1.0040693680798642,-1.0209457351767144,-0.2510247576793137,-0.2470230736050013,753.1371854339387,0.8618831960963709,0.8426691354507906,0.8256231100092035,0.8433918138521217,0.2772502433563292
CUNDINAMARCA,ANAPOIMA,2020,68.0,71.0,65.0,0.9558823529411764,7813.749141454697,22.697113,24.906647,21.710602,76.158516,5962.552382,0.38610077,0.38730493,1527.921410322189,-0.304604801234656,-2.5012891511376134,4.0,-0.449230129594049,-2.4391458897595646,5.0,-1.5004454231728166,-2.558520404026236,7.0,-0.7419755223624938,0.028934698023981,-0.3619911931508545,-0.8276865753727572,-0.6854838133359356,0.1035341140292263,-0.1127498323772508,753.1371854339387,1.0461538461538462,0.8618831960963709,0.8426691354507906,0.9169020592336693,0.42601928622812735
CUNDINAMARCA,ANAPOIMA,2022,58.7,62.83,68.45,1.166098807495741,8867.319761514664,21.42337,22.250153,20.449127,82.0046,5429.056135,0.4034729,0.40596136,1310.8812086582184,0.0500249715315473,-1.9398200206833147,2.0,0.2088468268229466,-1.2962250003117166,3.0,0.9473467552655238,0.5563252756886303,0.0,-0.9157089462854412,-0.0350247625923021,0.5563252756886303,-0.0249589740436366,-0.2035112561458646,-0.127502850126947,0.0843404084618657,753.1371854339387,0.9558823529411764,1.0461538461538462,0.8618831960963709,0.9546397983971312,0.3117658078000677
CUNDINAMARCA,ANAPOIMA,2023,47.16,55.07,57.54,1.2201017811704835,7591.186670303345,22.243338,23.266266,21.290436,80.990944,5747.352186,0.40162024,0.40632883,1438.997878074646,-0.1684955865911359,-1.4925090928980382,2.0,-0.2488942972958827,-1.2601810702956655,3.0,-0.0901073238933662,-0.872492153524339,0.0,-0.4852737860930953,-0.3253611559061791,-0.5664309202057317,-0.5546012793075649,-0.3302220192203028,-0.1469638262996463,-0.0064199506643,753.1371854339387,1.166098807495741,0.9558823529411764,1.0461538461538462,1.0560450021969212,0.4871834448643234
CUNDINAMARCA,ANAPOIMA,2024,44.52,51.39,67.22,1.5098831985624437,9061.714054584503,22.498587,23.959137,21.059479,80.747505,5775.392836,0.39928818,0.40327072,1458.368557214737,0.0118610842809274,-1.8430665458392144,3.0,0.0871634229968517,-1.664270634983191,4.0,-0.1039915613585251,-1.3895573447016387,2.0,-0.1718460947129901,0.0969954732638996,0.7177138768135352,-0.7562878729601394,-0.4132782562206666,0.4110307329727254,0.3945489423973753,753.1371854339387,1.2201017811704835,1.166098807495741,0.9558823529411764,1.1140276472024668,0.5073622673803744
