system:index,altitud_max_m,altitud_media_m,altitud_mediana_m,altitud_min_m,cod_mpio,departamento,municipio,.geo
0000000000000000043f,98,23.15479901500592,10.999999999999998,-6,001,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043e,357,84.01596053998558,62.528688524590166,-1,564,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,4155,3221.28784205906,3287.515685999595,192,001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000453,642,208.61514272993668,201.5512786060241,108,001,GUAVIARE,SAN JOSÉ DEL GUAVIARE,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000454,818,268.84598903059583,257.5599882935782,177,015,GUAVIARE,CALAMAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000455,613,217.34102358946402,204.4984566785606,108,025,GUAVIARE,EL RETORNO,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000456,561,230.6380831074919,230.52119279410167,153,200,GUAVIARE,MIRAFLORES,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045d,172,134.35198293263403,135.1102964898917,96,624,VICHADA,SANTA ROSALÍA,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e,358,79.53965068327534,80.5646287289245,5,001,VICHADA,PUERTO CARREÑO,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045f,167,110.6448541017609,112.07648276338955,44,524,VICHADA,LA PRIMAVERA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000460,390,141.29306838241686,138.50366829229475,44,773,VICHADA,CUMARIBO,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000440,201,123.75791897387717,124.33774109286476,10,001,AMAZONAS,LETICIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000448,180,107.72896379761852,108.47341950545301,57,540,AMAZONAS,PUERTO NARIÑO,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000441,266,145.38277832514243,148.57628736268111,-43,263,AMAZONAS,EL ENCANTO,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000442,250,167.48994377402974,166.33017551535258,79,405,AMAZONAS,LA CHORRERA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000443,384,121.6062828932412,122.64538036526218,30,407,AMAZONAS,LA PEDRERA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000444,236,173.53713180853504,175.0,85,430,AMAZONAS,LA VICTORIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000445,364,158.55483557146698,160.52575759290275,69,460,AMAZONAS,MIRITÍ - PARANÁ,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000446,262,181.06081565324314,181.14030734621338,108,530,AMAZONAS,PUERTO ALEGRÍA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000447,187,126.23703240417912,128.11143246119357,15,536,AMAZONAS,PUERTO ARICA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000449,357,156.56306605328396,154.52644054912943,39,669,AMAZONAS,PUERTO SANTANDER,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044a,206,115.85707802581294,116.31777688171559,0,798,AMAZONAS,TARAPACÁ,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000,3138,2059.094787528414,2051.562665692024,1189,001,ANTIOQUIA,MEDELLÍN,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2979,1946.585206256124,2119.5978054789202,600,002,ANTIOQUIA,ABEJORRAL,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,3584,2371.2167717546067,2343.549379340763,1365,004,ANTIOQUIA,ABRIAQUÍ,"{""type"":""MultiPoint"",""coordinates"":[]}"
