system:index,altitud_max_m,altitud_media_m,altitud_mediana_m,altitud_min_m,cod_mpio,departamento,municipio,.geo
0000000000000000043f,,,,,001,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043e,,,,,564,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,,,,,001,"BOGOTÁ, D.C.","BOGOTÁ, D.C.","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000453,,,,,001,GUAVIARE,SAN JOSÉ DEL GUAVIARE,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000454,,,,,015,GUAVIARE,CALAMAR,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000455,,,,,025,GUAVIARE,EL RETORNO,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000456,,,,,200,GUAVIARE,MIRAFLORES,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045d,,,,,624,VICHADA,SANTA ROSALÍA,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045e,,,,,001,VICHADA,PUERTO CARREÑO,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000045f,,,,,524,VICHADA,LA PRIMAVERA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000460,,,,,773,VICHADA,CUMARIBO,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000440,,,,,001,AMAZONAS,LETICIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000448,,,,,540,AMAZONAS,PUERTO NARIÑO,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000441,,,,,263,AMAZONAS,EL ENCANTO,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000442,,,,,405,AMAZONAS,LA CHORRERA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000443,,,,,407,AMAZONAS,LA PEDRERA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000444,,,,,430,AMAZONAS,LA VICTORIA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000445,,,,,460,AMAZONAS,MIRITÍ - PARANÁ,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000446,,,,,530,AMAZONAS,PUERTO ALEGRÍA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000447,,,,,536,AMAZONAS,PUERTO ARICA,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000449,,,,,669,AMAZONAS,PUERTO SANTANDER,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044a,,,,,798,AMAZONAS,TARAPACÁ,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000000,,,,,001,ANTIOQUIA,MEDELLÍN,"{""type"":""MultiPoint"",""coordinates"":[]}"
