departamento,municipio,cod_mpio,anio,Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año),Humedad volumétrica media anual del suelo capa 1 (m³/m³),Humedad volumétrica media anual del suelo capa 2 (m³/m³),Evaporación potencial acumulada anual (mm/año)
AMAZONAS,EL ENCANTO,263,2007,2666.462669572165,25.049417,27.371168,23.914051,91.78851,6006.697222581395,0.42363787,0.42536148,3997.6856787204742
AMAZONAS,EL ENCANTO,263,2008,2603.152147409528,24.95318,25.650776,23.982166,91.71408,6095.789341325581,0.4253759,0.4281608,4025.4620532823164
AMAZONAS,EL ENCANTO,263,2009,3103.0997482122375,24.999098,25.744907,24.137667,93.223816,5851.208812325582,0.43006983,0.4333892,3558.1573574875674
AMAZONAS,EL ENCANTO,263,2010,2630.808461854624,25.457466,26.198406,24.427956,92.433655,6100.684079674419,0.42528674,0.42655972,4084.511396990266
AMAZONAS,EL ENCANTO,263,2011,2884.234096216601,24.960299,25.541845,24.213293,92.6333,5840.694218116279,0.42619565,0.42898086,3733.881684441899
AMAZONAS,EL ENCANTO,263,2012,2990.8167241756305,24.88725,25.598349,23.998808,92.59628,5931.2409195581395,0.4257183,0.42875612,3798.9054902875146
AMAZONAS,EL ENCANTO,263,2013,2981.2831137679345,24.975416,25.62843,23.622223,92.56644,5898.593790930233,0.42779636,0.43044207,3788.754864986553
AMAZONAS,EL ENCANTO,263,2014,3035.430493737376,24.922544,25.45183,23.749954,92.84501,5733.96922727907,0.42938244,0.43194628,3584.547406518182
AMAZONAS,EL ENCANTO,263,2015,3249.465708499731,25.106056,26.327251,24.22182,93.30264,5706.6083167674415,0.4277207,0.43016648,3499.1482331198317
AMAZONAS,EL ENCANTO,263,2016,2904.9892387556474,25.446798,27.172516,24.159185,92.597435,5798.7850899767445,0.42537832,0.4278451,3747.9277642937595
AMAZONAS,EL ENCANTO,263,2017,2841.764841584272,25.29798,25.63488,24.501715,92.52657,5947.595342348837,0.42430854,0.42731106,3882.486251060353
AMAZONAS,EL ENCANTO,263,2018,2897.8149751563406,24.95928,26.153036,23.836227,92.55245,5747.042360755814,0.4262987,0.42896697,3675.215344922487
AMAZONAS,EL ENCANTO,263,2019,3243.5908773666206,25.208115,26.001879,24.15025,92.6285,5739.215733418605,0.42630568,0.42898765,3653.4329427563866
AMAZONAS,EL ENCANTO,263,2020,2622.981554336326,25.505049,26.333717,24.650738,91.63596,6059.336707348837,0.42152473,0.42308748,4225.977279058722
AMAZONAS,EL ENCANTO,263,2021,3297.4205875008606,25.051302,25.645775,24.059803,92.716515,5943.8317912093025,0.42607948,0.42892835,3893.935981146125
AMAZONAS,EL ENCANTO,263,2022,2711.1708055706913,25.213518,26.524454,24.275845,91.235634,6113.492640860465,0.41675246,0.4180124,4415.6629409235575
AMAZONAS,EL ENCANTO,263,2023,2536.0426202014437,25.809813,27.635214,24.498411,90.85886,6218.128668372093,0.4105022,0.40969276,4571.3181601845945
AMAZONAS,EL ENCANTO,263,2024,2355.1067938000656,26.359941,27.737164,25.101046,89.71134,6379.621060255814,0.40377593,0.4003688,5021.853785348493
AMAZONAS,LA CHORRERA,405,2007,2848.0563028569404,24.880722,27.506613,23.604475,91.436676,6028.496672903846,0.44520715,0.44999075,3998.9169446000687
AMAZONAS,LA CHORRERA,405,2008,2737.4722533340637,24.758947,25.495176,23.784746,91.53986,6122.266222134615,0.44756493,0.45402715,3996.407545699523
AMAZONAS,LA CHORRERA,405,2009,3070.4965910498913,24.855612,25.582165,23.936375,93.04719,5881.706915134616,0.45192227,0.45916566,3520.083075115314
