Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2013,ANTIOQUIA,ABEJORRAL,CAFE,3050.02,3713.32,1717.46,0.5630979468987088,PERMANENTE
2012,ANTIOQUIA,ABEJORRAL,CAFE,3000,3701,2398.12,0.7993733333333333,PERMANENTE
2011,ANTIOQUIA,ABEJORRAL,CAFE,3290,3959,1500,0.45592705167173253,PERMANENTE
2010,ANTIOQUIA,ABEJORRAL,CAFE,3665,4052,2528.9,0.6900136425648022,PERMANENTE
2008,ANTIOQUIA,ABEJORRAL,CAFE,3956,4180,2223.3,0.5620070778564207,PERMANENTE
2020,ANTIOQUIA,ABEJORRAL,CAFE,2506,3003,3089,1.2326416600159618,PERMANENTE
2009,ANTIOQUIA,ABEJORRAL,CAFE,3956.5,4180.5,2223.6,0.5620118791861494,PERMANENTE
2019,ANTIOQUIA,ABEJORRAL,CAFE,2326,2978,3093.58,1.33,PERMANENTE
2018,ANTIOQUIA,ABEJORRAL,CAFE,2529.48,3149.22,4717.63,1.8650592216582065,PERMANENTE
2007,ANTIOQUIA,ABEJORRAL,CAFE,3818.7,4066.7,2329.4,0.6099981669154425,PERMANENTE
2021,ANTIOQUIA,ABEJORRAL,CAFE,2474.81,3025.74,3736.96,1.5099987473785867,PERMANENTE
2024,ANTIOQUIA,ABEJORRAL,CAFE,2521.38,3049.41,4993.24,1.9803599616083254,PERMANENTE
2022,ANTIOQUIA,ABEJORRAL,CAFE,2579.18,3049.73,3079.99,1.1941741173551284,PERMANENTE
2016,ANTIOQUIA,ABEJORRAL,CAFE,3012.47,3523.01,3352.08,1.1127347326280428,PERMANENTE
2017,ANTIOQUIA,ABEJORRAL,CAFE,2751.64,3388.32,5017.56,1.823479815673562,PERMANENTE
2014,ANTIOQUIA,ABEJORRAL,CAFE,3182.24,3652.22,1937.58,0.6088729951229322,PERMANENTE
2015,ANTIOQUIA,ABEJORRAL,CAFE,3101.92,3556.26,3337.47,1.0759368391189972,PERMANENTE
2012,NORTE DE SANTANDER,ABREGO,CAFE,411.321,658.48,209.658,0.5097186868650032,PERMANENTE
2011,NORTE DE SANTANDER,ABREGO,CAFE,419.248,671.17,213.698,0.5097173987711331,PERMANENTE
2010,NORTE DE SANTANDER,ABREGO,CAFE,538.91,614.37,382.474,0.709717763634002,PERMANENTE
2023,NORTE DE SANTANDER,ABREGO,CAFE,349.67,436.64,218.7,0.6254468498870362,PERMANENTE
2009,NORTE DE SANTANDER,ABREGO,CAFE,595.41,595.41,193.936,0.32571841252246353,PERMANENTE
2007,NORTE DE SANTANDER,ABREGO,CAFE,455.94,492.04,188.059,0.41246435934552794,PERMANENTE
2008,NORTE DE SANTANDER,ABREGO,CAFE,455.94,492.04,188.059,0.41246435934552794,PERMANENTE
2017,NORTE DE SANTANDER,ABREGO,CAFE,257.85,300.23,215.501,0.8357611014155516,PERMANENTE
2020,NORTE DE SANTANDER,ABREGO,CAFE,280,321.46,157.5,0.5625,PERMANENTE
2018,NORTE DE SANTANDER,ABREGO,CAFE,257.5,321.39,220.116,0.8548194174757282,PERMANENTE
2024,NORTE DE SANTANDER,ABREGO,CAFE,397.39,509.16,309.88,0.7797881174664687,PERMANENTE
2019,NORTE DE SANTANDER,ABREGO,CAFE,237.09,316.46,314.12,1.3248977181660972,PERMANENTE
2021,NORTE DE SANTANDER,ABREGO,CAFE,299.93,358.42,272.94,0.9100123362117827,PERMANENTE
2022,NORTE DE SANTANDER,ABREGO,CAFE,312.61,399.07,246.26,0.7877547103419595,PERMANENTE
2015,NORTE DE SANTANDER,ABREGO,CAFE,407.38,445.61,358.628,0.8803279493347734,PERMANENTE
2016,NORTE DE SANTANDER,ABREGO,CAFE,306.67,342.18,279.203,0.9104346691883782,PERMANENTE
2013,NORTE DE SANTANDER,ABREGO,CAFE,571.44,665.66,299.448,0.5240235195296093,PERMANENTE
2014,NORTE DE SANTANDER,ABREGO,CAFE,490.66,540.18,278.018,0.5666204703868258,PERMANENTE
2011,ANTIOQUIA,ABRIAQUI,CAFE,114.5,147.7,96.18,0.8400000000000001,PERMANENTE
2013,ANTIOQUIA,ABRIAQUI,CAFE,111.08,136.99,62.5542,0.5631454807346057,PERMANENTE
2012,ANTIOQUIA,ABRIAQUI,CAFE,136.5,153.5,117.39,0.86,PERMANENTE
2007,ANTIOQUIA,ABRIAQUI,CAFE,135,135,81,0.6,PERMANENTE
2010,ANTIOQUIA,ABRIAQUI,CAFE,129.8,145.8,87,0.670261941448382,PERMANENTE
2008,ANTIOQUIA,ABRIAQUI,CAFE,131.8,137.3,89.6,0.6798179059180576,PERMANENTE
2020,ANTIOQUIA,ABRIAQUI,CAFE,96,113,118,1.2291666666666667,PERMANENTE
2017,ANTIOQUIA,ABRIAQUI,CAFE,99.92,118.17,182.202,1.8234787830264212,PERMANENTE
2023,ANTIOQUIA,ABRIAQUI,CAFE,102.33,115.97,178.09,1.740349848529268,PERMANENTE
2019,ANTIOQUIA,ABRIAQUI,CAFE,93,113,122,1.3118279569892473,PERMANENTE
2009,ANTIOQUIA,ABRIAQUI,CAFE,128.3,132.8,86,0.6703039750584567,PERMANENTE
2018,ANTIOQUIA,ABRIAQUI,CAFE,103.7,118.9,193.407,1.865062680810029,PERMANENTE
2021,ANTIOQUIA,ABRIAQUI,CAFE,102.4,117.44,111.62,1.0900390625,PERMANENTE
2024,ANTIOQUIA,ABRIAQUI,CAFE,94.2,109.22,202.88,2.153715498938429,PERMANENTE
2022,ANTIOQUIA,ABRIAQUI,CAFE,108.57,120.21,140.44,1.2935433360965276,PERMANENTE
2015,ANTIOQUIA,ABRIAQUI,CAFE,99.97,120.43,110.357,1.1039011703511052,PERMANENTE
2016,ANTIOQUIA,ABRIAQUI,CAFE,100.209,123.14,114.404,1.1416539432585895,PERMANENTE
